date,value,cash,holdings_value,shares
2022-05-09 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-10 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-11 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-12 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-13 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-16 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-17 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-18 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-19 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-20 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-23 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-24 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-25 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-26 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-27 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-31 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-01 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-02 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-03 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-06 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-07 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-08 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-09 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-10 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-13 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-14 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-15 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-16 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-06-17 04:00:00,33033.71443910001,33033.71443910001,0.0,0
